                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.88323,                0.62869,                 1.0445,                0.92227,                0.90195,                0.92151,                0.73845,                0.82973,                0.58506,                 1.0473,              0.0088516,              0.0088516,              0.0088516
                     61,                0.86553,                0.60494,                 1.0385,                0.92429,                0.89885,                0.92392,                0.75201,                0.82534,                0.59982,                 1.0691,              0.0088318,              0.0088318,              0.0088318
                     62,                0.90234,                0.63635,                 1.0796,                0.94496,                0.89607,                0.91335,                 0.7342,                0.83484,                0.59649,                 1.0747,               0.008812,               0.008812,               0.008812
                     63,                0.88499,                0.61256,                 1.0545,                0.95597,                0.89439,                  0.934,                0.75604,                0.79508,                0.54329,                  1.061,              0.0087922,              0.0087922,              0.0087922
                     64,                0.85965,                0.59054,                  1.045,                0.94116,                0.91762,                0.91885,                0.74103,                0.84436,                0.56562,                 1.0714,              0.0087724,              0.0087724,              0.0087724
                     65,                0.85821,                  0.603,                 1.0462,                0.94132,                 0.8835,                0.93005,                0.74826,                0.83448,                0.60053,                 1.0969,              0.0087526,              0.0087526,              0.0087526
                     66,                0.86474,                0.61376,                 1.0498,                0.93578,                0.89558,                0.91992,                0.73908,                0.83783,                0.64072,                 1.0883,              0.0087328,              0.0087328,              0.0087328
                     67,                0.85463,                0.59332,                 1.0519,                0.93425,                0.89083,                0.92268,                 0.7507,                0.82879,                0.56543,                 1.0893,               0.008713,               0.008713,               0.008713
                     68,                 0.8574,                0.59965,                 1.0373,                0.94463,                0.88219,                0.92067,                0.74391,                0.82473,                0.60119,                  1.068,              0.0086932,              0.0086932,              0.0086932
                     69,                0.87896,                  0.604,                 1.0572,                0.95368,                0.88863,                0.92655,                0.75606,                0.81538,                0.55183,                   1.08,              0.0086734,              0.0086734,              0.0086734
                     70,                0.86083,                0.59603,                 1.0508,                0.93803,                 0.9009,                0.92333,                0.75718,                0.78582,                0.56519,                 1.0583,              0.0086536,              0.0086536,              0.0086536
                     71,                0.85882,                0.58487,                 1.0376,                0.92173,                0.90559,                 0.9189,                0.74557,                0.81197,                0.57941,                 1.0535,              0.0086338,              0.0086338,              0.0086338
                     72,                 0.8573,                0.59787,                 1.0339,                0.91718,                0.91773,                0.92277,                0.73869,                0.83586,                0.56295,                 1.0742,               0.008614,               0.008614,               0.008614
                     73,                0.83522,                0.54886,                 1.0245,                0.93326,                0.92058,                  0.926,                0.74102,                0.82374,                0.59561,                   1.06,              0.0085942,              0.0085942,              0.0085942
                     74,                 0.8692,                0.58504,                 1.0492,                0.92844,                0.89764,                 0.9174,                0.73982,                0.82479,                0.57569,                 1.0758,              0.0085744,              0.0085744,              0.0085744
                     75,                0.85704,                0.59956,                 1.0539,                0.92079,                 0.9078,                0.92062,                0.74334,                0.84097,                0.56889,                 1.0841,              0.0085546,              0.0085546,              0.0085546
                     76,                0.85237,                0.56991,                 1.0397,                0.93318,                0.90112,                0.92137,                0.74611,                0.82281,                0.59916,                 1.0683,              0.0085348,              0.0085348,              0.0085348
                     77,                0.85763,                0.59422,                 1.0433,                0.93528,                0.91527,                0.92724,                 0.7483,                 0.7797,                0.55593,                 1.0581,               0.008515,               0.008515,               0.008515
                     78,                0.83913,                0.56635,                 1.0346,                0.93694,                0.91328,                 0.9314,                0.74343,                0.82892,                0.52683,                   1.08,              0.0084952,              0.0084952,              0.0084952
                     79,                0.83352,                 0.5944,                 1.0283,                0.93428,                0.90795,                0.91895,                0.75139,                0.79876,                0.56052,                 1.0698,              0.0084754,              0.0084754,              0.0084754
                     80,                0.85819,                0.57706,                 1.0507,                0.93292,                0.91469,                0.93151,                0.75602,                0.79699,                0.53153,                 1.0677,              0.0084556,              0.0084556,              0.0084556
                     81,                0.85089,                 0.5821,                 1.0286,                0.94284,                0.91605,                0.92268,                0.75428,                0.79827,                0.54212,                 1.0569,              0.0084358,              0.0084358,              0.0084358
                     82,                0.84828,                0.56199,                 1.0347,                0.94565,                0.91136,                0.92426,                 0.7388,                0.81563,                0.57326,                 1.0783,               0.008416,               0.008416,               0.008416
                     83,                0.84049,                 0.5697,                 1.0288,                0.93436,                0.89937,                0.91967,                0.74841,                0.78327,                0.55594,                 1.0565,              0.0083962,              0.0083962,              0.0083962
                     84,                0.83683,                0.56996,                 1.0357,                0.96019,                0.90743,                0.92783,                0.75399,                0.81658,                0.55859,                 1.0875,              0.0083764,              0.0083764,              0.0083764
                     85,                0.83239,                0.56577,                 1.0353,                 0.9363,                0.91307,                 0.9279,                0.75148,                0.78951,                0.55724,                 1.0679,              0.0083566,              0.0083566,              0.0083566
                     86,                0.85459,                0.58698,                   1.04,                0.94014,                0.90711,                0.92042,                0.75158,                0.81338,                0.61847,                 1.0842,              0.0083368,              0.0083368,              0.0083368
                     87,                0.81838,                0.56006,                 1.0187,                0.95927,                0.90073,                 0.9342,                0.75473,                0.81801,                0.53008,                 1.0962,               0.008317,               0.008317,               0.008317
